PRICING_DATE,PX_LAST
2010-02-12,2.48
2010-02-15,2.56
2010-02-16,2.5525
2010-02-17,2.57
2010-02-18,2.57
2010-02-19,2.56
2010-02-22,2.6075
2010-02-23,2.57
2010-02-24,2.56
2010-02-25,2.57
2010-02-26,2.54
2010-03-01,2.56
2010-03-02,2.54
2010-03-03,2.57
2010-03-04,2.58
2010-03-05,2.55
2010-03-08,2.54
2010-03-09,2.56
2010-03-10,2.56
2010-03-11,2.52
2010-03-12,2.55
2010-03-15,2.52
2010-03-16,2.5075
2010-03-17,2.4075
2010-03-18,2.43
2010-03-19,2.43
2010-03-22,2.4375
2010-03-23,2.47
2010-03-24,2.45
2010-03-25,2.47
2010-03-26,2.4575
2010-03-29,2.4525
2010-03-30,2.47
2010-03-31,2.4525
2010-04-01,2.4575
2010-04-02,2.47
2010-04-05,2.47
2010-04-06,2.48
2010-04-07,2.5
2010-04-08,2.4825
2010-04-09,2.4675
2010-04-12,2.45
2010-04-14,2.4
2010-04-15,2.4125
2010-04-16,2.4175
2010-04-19,2.3875
2010-04-21,2.37
2010-04-22,2.345
2010-04-23,2.36
2010-04-26,2.34
2010-04-27,2.3075
2010-04-28,2.31
2010-04-29,2.3075
2010-04-30,2.305
2010-05-04,2.3325
2010-05-05,2.34
2010-05-06,2.325
2010-05-07,2.3
2010-05-10,2.35
2010-05-12,2.3325
2010-05-13,2.325
2010-05-14,2.3325
2010-05-17,2.33
2010-05-18,2.32
2010-05-19,2.3225
2010-05-20,2.31
2010-05-21,2.32
2010-05-24,2.3125
2010-05-25,2.3275
2010-05-26,2.3275
2010-05-27,2.33
2010-05-28,2.325
2010-05-31,2.36
2010-06-01,2.43
2010-06-02,2.47
2010-06-03,2.48
2010-06-04,2.465
2010-06-07,2.4425
2010-06-08,2.505
2010-06-09,2.4875
2010-06-10,2.5475
2010-06-11,2.61
2010-06-17,2.575
2010-06-18,2.62
2010-06-21,2.58
2010-06-22,2.62
2010-06-23,2.575
2010-06-24,2.6
