PRICING_DATE,PX_LAST
2009-11-23,0.3111
2009-11-24,0.3036
2009-11-25,0.3321
2009-11-26,0.3021
2009-11-27,0.3186
2009-11-30,0.3131
2009-12-01,0.3236
2009-12-02,0.3571
2009-12-03,0.3691
2009-12-04,0.4331
2009-12-07,0.3961
2009-12-08,0.3701
2009-12-09,0.3721
2009-12-10,0.3871
2009-12-11,0.4066
2009-12-14,0.4311
2009-12-15,0.4436
2009-12-16,0.4321
2009-12-17,0.3881
2009-12-18,0.4011
2009-12-21,0.4201
2009-12-22,0.4421
2009-12-23,0.4531
2009-12-24,0.4931
2009-12-25,0.4866
2009-12-28,0.5281
2009-12-29,0.5206
2009-12-30,0.5156
2009-12-31,0.5441
2010-01-01,0.5321
2010-01-04,0.4986
2010-01-05,0.4671
2010-01-06,0.4471
2010-01-07,0.4506
2010-01-08,0.4196
2010-01-11,0.4056
2010-01-12,0.3874
2010-01-13,0.4241
2010-01-14,0.3971
2010-01-15,0.3801
2010-01-18,0.3741
2010-01-19,0.3871
2010-01-20,0.3901
2010-01-21,0.3646
2010-01-22,0.3521
2010-01-25,0.3571
2010-01-26,0.3621
2010-01-27,0.3881
2010-01-28,0.3666
2010-01-29,0.3521
2010-02-01,0.3716
2010-02-02,0.3721
2010-02-03,0.3931
2010-02-04,0.3571
2010-02-05,0.3431
2010-02-08,0.3551
2010-02-09,0.3651
2010-02-10,0.3816
2010-02-11,0.3966
2010-02-12,0.3801
2010-02-15,0.3801
2010-02-16,0.3606
2010-02-17,0.3771
2010-02-18,0.4141
2010-02-19,0.4101
2010-02-22,0.3841
2010-02-23,0.3676
2010-02-24,0.3551
2010-02-25,0.3361
2010-02-26,0.3361
2010-03-01,0.3281
2010-03-02,0.3221
2010-03-03,0.3321
2010-03-04,0.3711
2010-03-05,0.3971
2010-03-08,0.3961
2010-03-09,0.3786
2010-03-10,0.3951
2010-03-11,0.4201
2010-03-12,0.4361
2010-03-15,0.4126
2010-03-16,0.4011
2010-03-17,0.3896
2010-03-18,0.4241
2010-03-19,0.4501
2010-03-22,0.4281
2010-03-23,0.4291
2010-03-24,0.4566
2010-03-25,0.4481
2010-03-26,0.4521
2010-03-29,0.4539
2010-03-30,0.4596
2010-03-31,0.4596
2010-04-01,0.4404
2010-04-02,0.4596
2010-04-05,0.5056
2010-04-06,0.4821
2010-04-07,0.4341
2010-04-08,0.4596
2010-04-09,0.4509
2010-04-12,0.4401
2010-04-13,0.4476
2010-04-14,0.4471
2010-04-15,0.4361
2010-04-16,0.4121
2010-04-19,0.4181
2010-04-20,0.4401
2010-04-21,0.4451
2010-04-22,0.4521
2010-04-23,0.4811
2010-04-26,0.4816
2010-04-27,0.4401
2010-04-28,0.4381
2010-04-29,0.4426
2010-04-30,0.4471
2010-05-03,0.4691
2010-05-04,0.4471
2010-05-05,0.4431
2010-05-06,0.4171
2010-05-07,0.4211
2010-05-10,0.4261
2010-05-11,0.4121
2010-05-12,0.4056
2010-05-13,0.3891
2010-05-14,0.3821
2010-05-17,0.3826
2010-05-18,0.3821
2010-05-19,0.3851
2010-05-20,0.3781
2010-05-21,0.3756
2010-05-24,0.3691
2010-05-25,0.3671
2010-05-26,0.3956
2010-05-27,0.4021
2010-05-28,0.3946
2010-05-31,0.4021
2010-06-01,0.3906
2010-06-02,0.4081
2010-06-03,0.4061
2010-06-04,0.3661
2010-06-07,0.3751
2010-06-08,0.3736
2010-06-09,0.3681
2010-06-10,0.3681
2010-06-11,0.3606
2010-06-14,0.3606
2010-06-15,0.3671
2010-06-16,0.3561
2010-06-17,0.3486
2010-06-18,0.3471
2010-06-21,0.3431
2010-06-22,0.3391
2010-06-23,0.3281
2010-06-24,0.3316
2010-06-25,0.3191
2010-06-28,0.3121
2010-06-29,0.3236
2010-06-30,0.3221
2010-07-01,0.3236
2010-07-02,0.3241
2010-07-05,0.3131
2010-07-06,0.3171
2010-07-07,0.3111
2010-07-08,0.3111
2010-07-09,0.3111
2010-07-12,0.3141
2010-07-13,0.3081
2010-07-14,0.2986
2010-07-15,0.2971
2010-07-16,0.2881
2010-07-19,0.2861
2010-07-20,0.2811
2010-07-21,0.2761
2010-07-22,0.2631
2010-07-23,0.2676
2010-07-26,0.2791
2010-07-27,0.2971
2010-07-28,0.2901
2010-07-29,0.2821
2010-07-30,0.2701
2010-08-02,0.2641
2010-08-03,0.2501
2010-08-04,0.2606
2010-08-05,0.2481
2010-08-06,0.2351
2010-08-09,0.2426
2010-08-10,0.2381
2010-08-11,0.2361
2010-08-12,0.2451
2010-08-13,0.2436
2010-08-16,0.2409
2010-08-17,0.2521
2010-08-18,0.2421
2010-08-19,0.2361
2010-08-20,0.2356
2010-08-23,0.2331
2010-08-24,0.2371
2010-08-25,0.2381
2010-08-26,0.2411
2010-08-27,0.2531
2010-08-30,0.2421
2010-08-31,0.2401
2010-09-01,0.2501
2010-09-02,0.2471
2010-09-03,0.2451
2010-09-06,0.2521
2010-09-07,0.2436
2010-09-08,0.2541
2010-09-09,0.2676
2010-09-10,0.2701
2010-09-13,0.2551
2010-09-14,0.2509
2010-09-15,0.2541
2010-09-16,0.2471
2010-09-17,0.2501
2010-09-20,0.2441
2010-09-21,0.2381
2010-09-22,0.2366
2010-09-23,0.2311
2010-09-24,0.2401
2010-09-27,0.2351
2010-09-28,0.2271
2010-09-29,0.2256
2010-09-30,0.2316
2010-10-01,0.2356
2010-10-04,0.2281
2010-10-05,0.2206
2010-10-06,0.2111
2010-10-07,0.2061
2010-10-08,0.2101
2010-10-11,0.2051
2010-10-12,0.2081
2010-10-13,0.2001
2010-10-14,0.2101
2010-10-15,0.2081
2010-10-18,0.2111
2010-10-19,0.2121
2010-10-20,0.2071
2010-10-21,0.2071
2010-10-22,0.2111
2010-10-25,0.2091
2010-10-26,0.2211
2010-10-27,0.2306
2010-10-28,0.2111
2010-10-29,0.2091
2010-11-01,0.2131
2010-11-02,0.2091
2010-11-03,0.2151
2010-11-04,0.2091
2010-11-05,0.2231
2010-11-08,0.2241
2010-11-09,0.2281
2010-11-10,0.2291
2010-11-11,0.2411
2010-11-12,0.2491
2010-11-15,0.2581
2010-11-16,0.2521
2010-11-17,0.2431
2010-11-18,0.2461
2010-11-19,0.2511
2010-11-22,0.2501
2010-11-23,0.2396
2010-11-24,0.2556
2010-11-25,0.2636
2010-11-26,0.2521
2010-11-29,0.2496
2010-11-30,0.2721
2010-12-01,0.2636
2010-12-02,0.2706
2010-12-03,0.2496
2010-12-06,0.2331
2010-12-07,0.2471
2010-12-08,0.2771
2010-12-09,0.2741
2010-12-10,0.2796
2010-12-13,0.2726
2010-12-14,0.2781
2010-12-15,0.2891
2010-12-16,0.2871
2010-12-17,0.2791
2010-12-20,0.2771
2010-12-21,0.2776
2010-12-22,0.2811
2010-12-23,0.2861
